developer_id,programming_language,years_of_experience,email,country,favorite_editor,github_username,salary
1,JavaScript,0,vcornish0@slideshare.net,China,IntelliJ IDEA,psmallshaw0,44727.81
2,Java,9,jgwalter1@berkeley.edu,Czech Republic,Sublime Text,pfunnell1,176682.14
3,Java,10,rpitrasso2@indiegogo.com,Philippines,VS Code,ahovell2,189294.67
4,Python,5,zstygall3@ehow.com,Philippines,VS Code,swooler3,97261.08
5,Python,0,bpedrazzi4@vk.com,Armenia,VS Code,jrate4,174270.67
6,JavaScript,20,thumpherson5@multiply.com,Indonesia,Atom,gjust5,194106.15
7,Java,29,omccullen6@fc2.com,Indonesia,Atom,irobbel6,44358.03
8,JavaScript,27,bfores7@weather.com,Bulgaria,Atom,rvanthoog7,73803.62
9,Python,16,lbroadbere8@ustream.tv,Thailand,VS Code,dkell8,188500.76
10,JavaScript,4,steulier9@joomla.org,Indonesia,VS Code,fweedon9,96700.58
11,JavaScript,8,lpeevora@washingtonpost.com,United States,IntelliJ IDEA,dbuzzaa,49273.63
12,Java,3,dgleasaneb@ycombinator.com,Peru,VS Code,tmacekb,120035.67
13,JavaScript,10,awhytec@furl.net,Russia,Sublime Text,erupertoc,112231.93
14,JavaScript,1,lpedrolid@sohu.com,Syria,Atom,bgettoned,76625.89
15,JavaScript,21,mcaselye@pinterest.com,Cyprus,IntelliJ IDEA,glacke,136496.55
16,Java,29,sjoseyf@oracle.com,China,IntelliJ IDEA,jjaycockf,136228.97
17,Java,23,kgeoghegang@feedburner.com,Poland,Sublime Text,epieg,95374.46
18,JavaScript,25,acarraboth@tumblr.com,Tajikistan,Sublime Text,hmacdonnellh,182932.91
19,Java,17,nmcmanusi@netscape.com,Portugal,Atom,rdainei,34176.26
20,Java,17,drushmanj@artisteer.com,Greece,VS Code,gandreaccij,155471.31
21,Python,14,mengelbrechtk@weebly.com,Russia,VS Code,rmaysk,23688.14
22,Java,16,dkentl@g.co,Peru,Sublime Text,dprobartl,130457.5
23,JavaScript,30,drutgersm@vkontakte.ru,Peru,VS Code,dbleythinm,62215.88
24,Python,18,gaingern@redcross.org,Norway,Atom,apilpovicn,110401.51
25,JavaScript,13,rsharramo@sciencedirect.com,Iran,VS Code,eearpo,34429.21
26,JavaScript,20,fbonifasp@omniture.com,France,Sublime Text,pwartnabyp,167206.06
27,Java,6,bhuncoteq@ehow.com,Poland,Sublime Text,bcorneilleq,192300.33
28,Python,14,mgintyr@whitehouse.gov,Slovenia,IntelliJ IDEA,tglassborowr,135735.25
29,JavaScript,29,gmedcalfes@goo.gl,Vietnam,Atom,ehucs,56593.91
30,Java,27,rbasnettt@huffingtonpost.com,Nepal,Sublime Text,jboshert,53479.42
31,Python,9,aprestonu@so-net.ne.jp,Indonesia,Sublime Text,biacoboniu,52231.16
32,JavaScript,16,ebalkv@nasa.gov,Poland,IntelliJ IDEA,jkettsv,76285.74
33,Python,29,ebruhnsenw@fc2.com,France,IntelliJ IDEA,edenneyw,82875.99
34,JavaScript,30,tbiasinix@forbes.com,Russia,VS Code,kbeedx,61309.69
35,JavaScript,18,cgwinnely@linkedin.com,France,VS Code,kmackelleny,115892.57
36,Java,23,nranyardz@usnews.com,Indonesia,Sublime Text,cosbornez,193355.04
37,Python,17,eedkins10@miitbeian.gov.cn,Indonesia,VS Code,aroxburch10,143234.03
38,Python,8,edjokovic11@dailymotion.com,China,IntelliJ IDEA,erogge11,165082.29
39,Python,3,bhickisson12@godaddy.com,South Sudan,Atom,blippett12,74128.08
40,JavaScript,5,lrentz13@yellowpages.com,Indonesia,Atom,gbacon13,192048.54
41,Python,6,aenterle14@dedecms.com,Russia,Atom,medmand14,94387.78
42,Java,30,sstores15@e-recht24.de,South Korea,IntelliJ IDEA,bmabbe15,70186.37
43,JavaScript,0,nmccarrell16@arstechnica.com,Russia,Atom,kbateup16,179628.3
44,JavaScript,21,tatto17@adobe.com,China,VS Code,aocrigane17,183964.91
45,Python,7,llowin18@virginia.edu,China,Atom,gskipping18,40817.7
46,Java,4,mbriamo19@sohu.com,Pakistan,IntelliJ IDEA,ktankard19,65355.69
47,JavaScript,12,omoralis1a@edublogs.org,Dominican Republic,VS Code,bross1a,146905.02
48,Java,23,asobtka1b@sohu.com,China,Sublime Text,tgeistbeck1b,107959.03
49,JavaScript,8,mjennaroy1c@ning.com,China,IntelliJ IDEA,sdalby1c,197133.69
50,Python,11,rklazenga1d@t.co,France,Sublime Text,rchalliner1d,197333.39
